k;t;r;value
p6;22;1;0.0
p7;22;1;949.0
p8;22;1;0.0
p9;22;1;0.0
p10;22;1;0.0
p11;22;1;0.0
p12;22;1;0.0
p13;22;1;0.0
p14;22;1;0.0
p15;22;1;742.0
p16;22;1;0.0
p17;22;1;536.0
p18;22;1;0.0
p19;22;1;0.0
p20;22;1;0.0
p21;22;1;961.0
p22;22;1;0.0
p23;22;1;-0.0
p24;22;1;1624.0
p25;22;1;0.0
p26;22;1;0.0
p27;22;1;0.0
p28;22;1;0.0
p1;23;1;0.0
p2;23;1;0.0
p3;23;1;166.0
p4;23;1;0.0
p5;23;1;0.0
p6;23;1;0.0
p7;23;1;100.0
p8;23;1;0.0
p9;23;1;0.0
p10;23;1;0.0
p11;23;1;0.0
p12;23;1;0.0
p13;23;1;0.0
p14;23;1;0.0
p15;23;1;908.0
p16;23;1;0.0
p17;23;1;115.0
p18;23;1;0.0
p19;23;1;0.0
p20;23;1;0.0
p21;23;1;1516.0
p22;23;1;0.0
p23;23;1;-0.0
p24;23;1;2195.0
p25;23;1;0.0
p26;23;1;0.0
p27;23;1;0.0
p28;23;1;0.0
p1;24;1;0.0
p2;24;1;0.0
p3;24;1;111.0
p4;24;1;0.0
p5;24;1;0.0
p6;24;1;0.0
p7;24;1;764.0
p8;24;1;0.0
p9;24;1;0.0
p10;24;1;0.0
p11;24;1;0.0
p12;24;1;0.0
p13;24;1;0.0
p14;24;1;0.0
p15;24;1;173.0
p16;24;1;0.0
p17;24;1;428.0
p18;24;1;0.0
p19;24;1;0.0
p20;24;1;0.0
p21;24;1;2309.0
p22;24;1;0.0
p23;24;1;-0.0
p24;24;1;1215.0
p25;24;1;0.0
p26;24;1;0.0
p27;24;1;0.0
p28;24;1;0.0
p1;25;1;0.0
p2;25;1;0.0
p3;25;1;12.0
p4;25;1;1.0
p5;25;1;0.0
p6;25;1;0.0
p7;25;1;768.0
p8;25;1;0.0
p9;25;1;0.0
p10;25;1;0.0
p11;25;1;0.0
p12;25;1;0.0
p13;25;1;0.0
p14;25;1;0.0
p15;25;1;551.0
p16;25;1;0.0
p17;25;1;381.0
p18;25;1;0.0
p19;25;1;0.0
p20;25;1;0.0
p21;25;1;1662.0
p22;25;1;0.0
p23;25;1;-0.0
p24;25;1;1362.0
p25;25;1;0.0
p26;25;1;0.0
p27;25;1;263.0
p28;25;1;0.0
p1;26;1;0.0
p2;26;1;0.0
p3;26;1;19.0
p4;26;1;0.0
p5;26;1;0.0
p6;26;1;0.0
p7;26;1;741.0
p8;26;1;0.0
p9;26;1;0.0
p10;26;1;0.0
p11;26;1;0.0
p12;26;1;0.0
p13;26;1;0.0
p14;26;1;0.0
p15;26;1;496.0
p16;26;1;0.0
p17;26;1;358.0
p18;26;1;0.0
p19;26;1;0.0
p20;26;1;0.0
p21;26;1;1794.0
p22;26;1;0.0
p23;26;1;-0.0
p24;26;1;1346.0
p25;26;1;0.0
p26;26;1;0.0
p27;26;1;246.0
p28;26;1;0.0
p1;27;1;0.0
p2;27;1;0.0
p3;27;1;18.0
p4;27;1;0.0
p5;27;1;0.0
p6;27;1;0.0
