f;n;t;u;r;value
Punta;1;7;8;1;0.0
Punta;1;7;9;1;0.0
Punta;1;7;10;1;0.0
Punta;1;7;11;1;0.0
Punta;1;7;12;1;0.0
Punta;1;7;13;1;0.0
Jamoncito;1;7;8;1;0.0
Jamoncito;1;7;9;1;0.0
Jamoncito;1;7;10;1;0.0
Jamoncito;1;7;11;1;0.0
Jamoncito;1;7;12;1;0.0
Jamoncito;1;7;13;1;0.0
Medio Muslo;1;7;8;1;0.0
Medio Muslo;1;7;9;1;0.0
Medio Muslo;1;7;10;1;0.0
Medio Muslo;1;7;11;1;0.0
Medio Muslo;1;7;12;1;0.0
Medio Muslo;1;7;13;1;0.0
Entero;2;8;9;1;0.0
Entero;2;8;10;1;0.0
Entero;2;8;11;1;0.0
Entero;2;8;12;1;0.0
Entero;2;8;13;1;0.0
Entero;2;8;14;1;0.04076549999990675
Medio Pollo;2;8;9;1;0.0
Medio Pollo;2;8;10;1;0.0
Medio Pollo;2;8;11;1;0.0
Medio Pollo;2;8;12;1;0.0
Medio Pollo;2;8;13;1;6.261381567134947
Medio Pollo;2;8;14;1;0.4112786633927499
Medio Pollo Superior;2;8;9;1;0.0
Medio Pollo Superior;2;8;10;1;0.0
Medio Pollo Superior;2;8;11;1;0.0
Medio Pollo Superior;2;8;12;1;0.0
Medio Pollo Superior;2;8;13;1;0.9446517292271035
Medio Pollo Superior;2;8;14;1;338.9312607511047
Medio Pollo Inferior;2;8;9;1;0.0
Medio Pollo Inferior;2;8;10;1;0.0
Medio Pollo Inferior;2;8;11;1;0.0
Medio Pollo Inferior;2;8;12;1;0.0
Medio Pollo Inferior;2;8;13;1;0.0
Medio Pollo Inferior;2;8;14;1;0.15666951227285608
Cuarto de Pollo Superior;2;8;9;1;0.0
Cuarto de Pollo Superior;2;8;10;1;0.0
Cuarto de Pollo Superior;2;8;11;1;0.0
Cuarto de Pollo Superior;2;8;12;1;0.0
Cuarto de Pollo Superior;2;8;13;1;0.0
Cuarto de Pollo Superior;2;8;14;1;207.57053068542155
Muslo Entero;2;8;9;1;0.0
Muslo Entero;2;8;10;1;0.0
Muslo Entero;2;8;11;1;0.0
Muslo Entero;2;8;12;1;15.761634490323843
Muslo Entero;2;8;13;1;430.16129032258067
Muslo Entero;2;8;14;1;0.0
Pechuga Completa;2;8;9;1;0.0
Pechuga Completa;2;8;10;1;0.0
Pechuga Completa;2;8;11;1;0.0
Pechuga Completa;2;8;12;1;0.0
Pechuga Completa;2;8;13;1;0.0
Pechuga Completa;2;8;14;1;0.0
Ala Completa;2;8;9;1;0.0
Ala Completa;2;8;10;1;0.0
Ala Completa;2;8;11;1;0.0
Ala Completa;2;8;12;1;303.99350497453463
Ala Completa;2;8;13;1;96.9948230721634
Ala Completa;2;8;14;1;0.0
Media Pechuga;2;8;9;1;0.0
Media Pechuga;2;8;10;1;0.0
Media Pechuga;2;8;11;1;0.0
Media Pechuga;2;8;12;1;246.60393149325057
Media Pechuga;2;8;13;1;0.0
Media Pechuga;2;8;14;1;781.647583525053
Blanqueta;2;8;9;1;0.0
Blanqueta;2;8;10;1;0.0
Blanqueta;2;8;11;1;0.0
Blanqueta;2;8;12;1;0.0
Blanqueta;2;8;13;1;0.0
Blanqueta;2;8;14;1;0.0
Alón;2;8;9;1;0.0
Alón;2;8;10;1;0.0
Alón;2;8;11;1;0.0
Alón;2;8;12;1;0.0
Alón;2;8;13;1;0.0
Alón;2;8;14;1;0.0
Punta;2;8;9;1;0.0
Punta;2;8;10;1;0.0
Punta;2;8;11;1;0.0
Punta;2;8;12;1;0.0
Punta;2;8;13;1;0.0
Punta;2;8;14;1;0.0
Jamoncito;2;8;9;1;0.0
Jamoncito;2;8;10;1;0.0
Jamoncito;2;8;11;1;0.0
Jamoncito;2;8;12;1;0.0
Jamoncito;2;8;13;1;0.0
Jamoncito;2;8;14;1;39.83097896620313
Medio Muslo;2;8;9;1;0.0
Medio Muslo;2;8;10;1;0.0
Medio Muslo;2;8;11;1;0.0
Medio Muslo;2;8;12;1;0.0
Medio Muslo;2;8;13;1;95.19214515491015
Medio Muslo;2;8;14;1;0.0
Entero;2;9;10;1;0.0
Entero;2;9;11;1;0.0
Entero;2;9;12;1;0.0
Entero;2;9;13;1;0.0
Entero;2;9;14;1;0.0
Entero;2;9;15;1;0.0
Medio Pollo;2;9;10;1;0.0
Medio Pollo;2;9;11;1;0.0
Medio Pollo;2;9;12;1;0.0
Medio Pollo;2;9;13;1;6.261381567134947
Medio Pollo;2;9;14;1;0.338141290000749
Medio Pollo;2;9;15;1;0.0
Medio Pollo Superior;2;9;10;1;0.0
Medio Pollo Superior;2;9;11;1;0.0
Medio Pollo Superior;2;9;12;1;0.0
Medio Pollo Superior;2;9;13;1;0.9446517292271035
Medio Pollo Superior;2;9;14;1;0.0
Medio Pollo Superior;2;9;15;1;0.0
Medio Pollo Inferior;2;9;10;1;0.0
Medio Pollo Inferior;2;9;11;1;0.0
Medio Pollo Inferior;2;9;12;1;0.0
Medio Pollo Inferior;2;9;13;1;0.0
Medio Pollo Inferior;2;9;14;1;0.0
