f;n;t;r;value
Entero;3;44;1;1.0
Medio Pollo;3;44;1;794.5
Medio Pollo Superior;3;44;1;0.0
Medio Pollo Inferior;3;44;1;1515.967741935484
Cuarto de Pollo Superior;3;44;1;1544.516129032258
Muslo Entero;3;44;1;1193.6935483870968
Pechuga Completa;3;44;1;3649.8387096774195
Ala Completa;3;44;1;1099.1612903225807
Media Pechuga;3;44;1;1936.2096774193549
Blanqueta;3;44;1;11.029569892473118
Alón;3;44;1;5.4145161290322585
Punta;3;44;1;1.6043010752688172
Jamoncito;3;44;1;1165.6129032258063
Medio Muslo;3;44;1;2081.451612903226
Entero;3;45;1;995.0
Medio Pollo;3;45;1;4373.5
Medio Pollo Superior;3;45;1;0.0
Medio Pollo Inferior;3;45;1;2196.161290322581
Cuarto de Pollo Superior;3;45;1;2539.451612903226
Muslo Entero;3;45;1;1842.8548387096776
Pechuga Completa;3;45;1;0.0
Ala Completa;3;45;1;506.80645161290323
Media Pechuga;3;45;1;2544.1935483870966
Blanqueta;3;45;1;1.2419354838709677
Alón;3;45;1;0.6096774193548388
Punta;3;45;1;0.18064516129032257
Jamoncito;3;45;1;0.0
Medio Muslo;3;45;1;0.0
Entero;3;46;1;996.0
Medio Pollo;3;46;1;0.0
Medio Pollo Superior;3;46;1;1293.6774193548388
Medio Pollo Inferior;3;46;1;1051.3225806451612
Cuarto de Pollo Superior;3;46;1;379.16129032258067
Muslo Entero;3;46;1;360.6451612903226
Pechuga Completa;3;46;1;4068.8709677419356
Ala Completa;3;46;1;1056.3870967741934
Media Pechuga;3;46;1;1313.225806451613
Blanqueta;3;46;1;12.241935483870968
Alón;3;46;1;6.009677419354839
Punta;3;46;1;1.7806451612903227
Jamoncito;3;46;1;1601.2688172043013
Medio Muslo;3;46;1;2859.4086021505377
Entero;3;47;1;1990.0
Medio Pollo;3;47;1;0.0
Medio Pollo Superior;3;47;1;2763.8709677419356
