f;n;t;r;value
Medio Pollo;2;3;1;1109.5
Medio Pollo Superior;2;3;1;1349.8748874496187
Medio Pollo Inferior;2;3;1;1198.0967741935483
Cuarto de Pollo Superior;2;3;1;1547.5976771985215
Muslo Entero;2;3;1;1382.7541118093677
Pechuga Completa;2;3;1;1972.995957154476
Ala Completa;2;3;1;849.4121486394752
Media Pechuga;2;3;1;2267.471928023352
Blanqueta;2;3;1;35.917562724014715
Alón;2;3;1;14.181646201424883
Punta;2;3;1;1.6258064516132436
Jamoncito;2;3;1;1079.0537634408602
Medio Muslo;2;3;1;2082.110915855791
Entero;2;4;1;983.0815309999998
Medio Pollo;2;4;1;1082.0
Medio Pollo Superior;2;4;1;1322.7452354188745
Medio Pollo Inferior;2;4;1;1171.677419354839
Cuarto de Pollo Superior;2;4;1;1521.1935483870966
Muslo Entero;2;4;1;1356.6915773164328
Pechuga Completa;2;4;1;1947.2620932450418
Ala Completa;2;4;1;824.2999674472876
Media Pechuga;2;4;1;2242.6541553794887
Blanqueta;2;4;1;11.099790080152161
Alón;2;4;1;0.0
Punta;2;4;1;0.0
Jamoncito;2;4;1;1054.666666666667
Medio Muslo;2;4;1;2056.9987346636035
Entero;2;5;1;960.0
Medio Pollo;2;5;1;1059.000000000001
Medio Pollo Superior;2;5;1;1295.6155833881285
Medio Pollo Inferior;2;5;1;1155.7419354838712
Cuarto de Pollo Superior;2;5;1;1494.7894195756726
Muslo Entero;2;5;1;1341.0967741935483
Pechuga Completa;2;5;1;1921.528229335604
Ala Completa;2;5;1;799.1877862551019
Media Pechuga;2;5;1;2218.134692773544
Blanqueta;2;5;1;0.0
Alón;2;5;1;0.0
Punta;2;5;1;0.0
Jamoncito;2;5;1;1057.8279569892475
Medio Muslo;2;5;1;2031.8865534714168
Entero;2;6;1;942.9999999999991
Medio Pollo;2;6;1;1041.000000000001
Medio Pollo Superior;2;6;1;1273.354838709677
Medio Pollo Inferior;2;6;1;1144.0
Cuarto de Pollo Superior;2;6;1;1473.0967741935483
Muslo Entero;2;6;1;1329.354838709678
Pechuga Completa;2;6;1;1895.794365426168
Ala Completa;2;6;1;801.8709677419365
Media Pechuga;2;6;1;2193.3169201296823
