f;u;r;value
Jamoncito;4;5;0.0
Jamoncito;5;5;0.0
Jamoncito;6;5;0.0
Jamoncito;7;5;30.33189053568003
Jamoncito;8;5;1090.4946236559103
Medio Muslo;1;5;0.0
Medio Muslo;2;5;0.0
Medio Muslo;3;5;0.0
Medio Muslo;4;5;0.0
Medio Muslo;5;5;0.0
Medio Muslo;6;5;0.0
Medio Muslo;7;5;0.0
Medio Muslo;8;5;511.29338709480885
Entero;1;6;0.0
Entero;2;6;0.0
Entero;3;6;0.0
Entero;4;6;0.0
Entero;5;6;0.0
Entero;6;6;0.0
Entero;7;6;0.0
Entero;8;6;170.20971063344166
Medio Pollo;1;6;0.0
Medio Pollo;2;6;0.0
Medio Pollo;3;6;0.0
Medio Pollo;4;6;0.0
Medio Pollo;5;6;0.0
Medio Pollo;6;6;0.0
Medio Pollo;7;6;0.0
Medio Pollo;8;6;0.0
Medio Pollo Superior;1;6;0.0
Medio Pollo Superior;2;6;0.0
Medio Pollo Superior;3;6;0.0
Medio Pollo Superior;4;6;0.0
Medio Pollo Superior;5;6;0.0
Medio Pollo Superior;6;6;0.0
Medio Pollo Superior;7;6;0.0
Medio Pollo Superior;8;6;188.66723199138096
Medio Pollo Inferior;1;6;0.0
Medio Pollo Inferior;2;6;0.0
Medio Pollo Inferior;3;6;0.0
Medio Pollo Inferior;4;6;0.0
Medio Pollo Inferior;5;6;0.0
Medio Pollo Inferior;6;6;0.0
Medio Pollo Inferior;7;6;473.36756239717226
Medio Pollo Inferior;8;6;1110.4516129032259
Cuarto de Pollo Superior;1;6;0.0
Cuarto de Pollo Superior;2;6;0.0
Cuarto de Pollo Superior;3;6;0.0
Cuarto de Pollo Superior;4;6;0.0
Cuarto de Pollo Superior;5;6;0.0
Cuarto de Pollo Superior;6;6;0.0
Cuarto de Pollo Superior;7;6;0.0
Cuarto de Pollo Superior;8;6;872.172320933551
Muslo Entero;1;6;0.0
Muslo Entero;2;6;0.0
Muslo Entero;3;6;0.0
Muslo Entero;4;6;0.0
Muslo Entero;5;6;0.0
Muslo Entero;6;6;0.0
Muslo Entero;7;6;0.0
Muslo Entero;8;6;721.6377221341954
Pechuga Completa;1;6;0.0
Pechuga Completa;2;6;0.0
Pechuga Completa;3;6;0.0
Pechuga Completa;4;6;0.0
Pechuga Completa;5;6;0.0
Pechuga Completa;6;6;0.0
Pechuga Completa;7;6;0.0
Pechuga Completa;8;6;0.0
Ala Completa;1;6;0.0
Ala Completa;2;6;0.0
Ala Completa;3;6;0.0
Ala Completa;4;6;0.0
Ala Completa;5;6;0.0
Ala Completa;6;6;0.0
Ala Completa;7;6;0.0
Ala Completa;8;6;43.77426986986177
Media Pechuga;1;6;0.0
Media Pechuga;2;6;0.0
Media Pechuga;3;6;0.0
Media Pechuga;4;6;0.0
Media Pechuga;5;6;0.0
Media Pechuga;6;6;0.0
Media Pechuga;7;6;293.17077081101866
Media Pechuga;8;6;2252.4193548387098
Blanqueta;1;6;0.0
Blanqueta;2;6;0.0
Blanqueta;3;6;0.0
Blanqueta;4;6;0.0
Blanqueta;5;6;0.0
Blanqueta;6;6;0.0
Blanqueta;7;6;0.0
Blanqueta;8;6;0.0
Alón;1;6;0.0
Alón;2;6;0.0
Alón;3;6;0.0
Alón;4;6;0.0
Alón;5;6;0.0
Alón;6;6;0.0
Alón;7;6;0.0
Alón;8;6;0.0
Punta;1;6;0.0
Punta;2;6;0.0
Punta;3;6;0.0
Punta;4;6;0.0
Punta;5;6;0.0
Punta;6;6;0.0
Punta;7;6;0.0
Punta;8;6;0.0
Jamoncito;1;6;0.0
Jamoncito;2;6;0.0
Jamoncito;3;6;0.0
Jamoncito;4;6;0.0
Jamoncito;5;6;0.0
Jamoncito;6;6;0.0
Jamoncito;7;6;0.0
Jamoncito;8;6;0.0
Medio Muslo;1;6;0.0
Medio Muslo;2;6;0.0
Medio Muslo;3;6;0.0
Medio Muslo;4;6;0.0
Medio Muslo;5;6;0.0
Medio Muslo;6;6;0.0
Medio Muslo;7;6;0.0
Medio Muslo;8;6;0.0
Entero;1;7;0.0
