f;n;t;r;value
Medio Pollo Inferior;2;11;1;67.57424831378805
Cuarto de Pollo Superior;2;11;1;65.68011626806494
Muslo Entero;2;11;1;72.00823559160628
Pechuga Completa;2;11;1;65.86105108964318
Ala Completa;2;11;1;94.15748311951822
Media Pechuga;2;11;1;72.23450998418338
Blanqueta;2;11;1;108.8027173872651
Alón;2;11;1;113.42207124453326
Punta;2;11;1;117.86876995022747
Jamoncito;2;11;1;94.79700438297074
Medio Muslo;2;11;1;72.6861394900785
Entero;2;12;1;59.496759161383686
Medio Pollo;2;12;1;61.558904692310875
Medio Pollo Superior;2;12;1;61.527476563301136
Medio Pollo Inferior;2;12;1;67.57424831378805
Cuarto de Pollo Superior;2;12;1;65.68011626806494
Muslo Entero;2;12;1;72.00823559160628
Pechuga Completa;2;12;1;65.86105108964318
Ala Completa;2;12;1;94.15748311951822
Media Pechuga;2;12;1;72.23450998418338
Blanqueta;2;12;1;108.8027173872651
Alón;2;12;1;113.42207124453326
Punta;2;12;1;117.86876995022747
Jamoncito;2;12;1;94.79700438297074
Medio Muslo;2;12;1;72.6861394900785
Entero;2;13;1;59.496759161383686
Medio Pollo;2;13;1;61.558904692310875
Medio Pollo Superior;2;13;1;61.527476563301136
Medio Pollo Inferior;2;13;1;67.57424831378805
Cuarto de Pollo Superior;2;13;1;65.68011626806494
Muslo Entero;2;13;1;72.00823559160628
Pechuga Completa;2;13;1;65.86105108964318
Ala Completa;2;13;1;94.15748311951822
Media Pechuga;2;13;1;72.23450998418338
Blanqueta;2;13;1;108.8027173872651
Alón;2;13;1;113.42207124453326
Punta;2;13;1;117.86876995022747
Jamoncito;2;13;1;94.79700438297074
Medio Muslo;2;13;1;72.6861394900785
Entero;2;14;1;59.496759161383686
Medio Pollo;2;14;1;61.558904692310875
Medio Pollo Superior;2;14;1;61.527476563301136
Medio Pollo Inferior;2;14;1;67.57424831378805
Cuarto de Pollo Superior;2;14;1;65.68011626806494
Muslo Entero;2;14;1;72.00823559160628
Pechuga Completa;2;14;1;65.86105108964318
Ala Completa;2;14;1;94.15748311951822
Media Pechuga;2;14;1;72.23450998418338
Blanqueta;2;14;1;108.8027173872651
Alón;2;14;1;113.42207124453326
Punta;2;14;1;117.86876995022747
Jamoncito;2;14;1;94.79700438297074
Medio Muslo;2;14;1;72.6861394900785
Entero;2;15;1;59.49675916138368
Medio Pollo;2;15;1;61.558904692310875
Medio Pollo Superior;2;15;1;61.527476563301136
Medio Pollo Inferior;2;15;1;67.57424831378805
Cuarto de Pollo Superior;2;15;1;65.68011626806494
Muslo Entero;2;15;1;72.00823559160628
Pechuga Completa;2;15;1;65.86105108964318
Ala Completa;2;15;1;94.15748311951822
Media Pechuga;2;15;1;72.23450998418338
Blanqueta;2;15;1;108.8027173872651
Alón;2;15;1;113.42207124453326
Punta;2;15;1;117.86876995022747
Jamoncito;2;15;1;94.79700438297074
Medio Muslo;2;15;1;72.6861394900785
Entero;2;16;1;59.49675916138368
Medio Pollo;2;16;1;61.558904692310875
Medio Pollo Superior;2;16;1;61.527476563301136
Medio Pollo Inferior;2;16;1;67.57424831378805
Cuarto de Pollo Superior;2;16;1;65.68011626806494
Muslo Entero;2;16;1;72.00823559160628
Pechuga Completa;2;16;1;65.86105108964318
Ala Completa;2;16;1;94.15748311951822
Media Pechuga;2;16;1;72.23450998418338
Blanqueta;2;16;1;108.8027173872651
Alón;2;16;1;113.42207124453326
Punta;2;16;1;117.86876995022749
Jamoncito;2;16;1;94.79700438297074
Medio Muslo;2;16;1;72.6861394900785
Entero;2;17;1;59.49675916138367
Medio Pollo;2;17;1;61.558904692310875
Medio Pollo Superior;2;17;1;61.527476563301136
Medio Pollo Inferior;2;17;1;67.57424831378805
Cuarto de Pollo Superior;2;17;1;65.68011626806494
Muslo Entero;2;17;1;72.00823559160628
Pechuga Completa;2;17;1;65.86105108964318
Ala Completa;2;17;1;94.15748311951822
Media Pechuga;2;17;1;72.23450998418338
Blanqueta;2;17;1;108.8027173872651
Alón;2;17;1;113.42207124453326
Punta;2;17;1;117.86876995022749
Jamoncito;2;17;1;94.79700438297074
Medio Muslo;2;17;1;72.6861394900785
Entero;2;18;1;59.49675916138367
Medio Pollo;2;18;1;61.558904692310875
Medio Pollo Superior;2;18;1;61.52747656330113
Medio Pollo Inferior;2;18;1;67.57424831378805
Cuarto de Pollo Superior;2;18;1;65.68011626806494
Muslo Entero;2;18;1;72.00823559160628
Pechuga Completa;2;18;1;65.86105108964318
Ala Completa;2;18;1;94.15748311951822
Media Pechuga;2;18;1;72.23450998418338
Blanqueta;2;18;1;108.8027173872651
Alón;2;18;1;113.42207124453326
Punta;2;18;1;117.86876995022749
Jamoncito;2;18;1;94.79700438297074
Medio Muslo;2;18;1;72.6861394900785
Entero;2;19;1;59.49675916138368
Medio Pollo;2;19;1;61.558904692310875
Medio Pollo Superior;2;19;1;61.527476563301114
Medio Pollo Inferior;2;19;1;67.57424831378805
Cuarto de Pollo Superior;2;19;1;65.68011626806494
Muslo Entero;2;19;1;72.00823559160628
Pechuga Completa;2;19;1;65.86105108964318
Ala Completa;2;19;1;94.15748311951822
Media Pechuga;2;19;1;72.23450998418338
Blanqueta;2;19;1;108.8027173872651
Alón;2;19;1;113.42207124453326
Punta;2;19;1;117.86876995022749
Jamoncito;2;19;1;94.79700438297074
Medio Muslo;2;19;1;72.6861394900785
Entero;2;20;1;59.49675916138368
Medio Pollo;2;20;1;61.558904692310875
Medio Pollo Superior;2;20;1;61.527476563301114
Medio Pollo Inferior;2;20;1;67.57424831378805
Cuarto de Pollo Superior;2;20;1;65.68011626806494
Muslo Entero;2;20;1;72.00823559160628
Pechuga Completa;2;20;1;65.86105108964318
Ala Completa;2;20;1;94.15748311951822
Media Pechuga;2;20;1;72.23450998418338
Blanqueta;2;20;1;108.8027173872651
Alón;2;20;1;113.42207124453326
Punta;2;20;1;117.86876995022749
Jamoncito;2;20;1;94.79700438297074
Medio Muslo;2;20;1;72.6861394900785
Entero;2;21;1;59.496759161383686
Medio Pollo;2;21;1;61.558904692310875
Medio Pollo Superior;2;21;1;61.527476563301114
Medio Pollo Inferior;2;21;1;67.57424831378805
Cuarto de Pollo Superior;2;21;1;65.68011626806494
Muslo Entero;2;21;1;72.00823559160628
Pechuga Completa;2;21;1;65.86105108964318
Ala Completa;2;21;1;94.15748311951822
Media Pechuga;2;21;1;72.23450998418338
Blanqueta;2;21;1;108.8027173872651
Alón;2;21;1;113.42207124453326
Punta;2;21;1;117.86876995022749
Jamoncito;2;21;1;94.79700438297074
Medio Muslo;2;21;1;72.6861394900785
Entero;2;22;1;59.49675916138368
Medio Pollo;2;22;1;61.558904692310875
Medio Pollo Superior;2;22;1;61.527476563301114
Medio Pollo Inferior;2;22;1;67.57424831378805
Cuarto de Pollo Superior;2;22;1;65.68011626806494
Muslo Entero;2;22;1;72.00823559160627
Pechuga Completa;2;22;1;65.86105108964317
Ala Completa;2;22;1;94.15748311951822
Media Pechuga;2;22;1;72.23450998418338
Blanqueta;2;22;1;108.8027173872651
Alón;2;22;1;113.42207124453326
Punta;2;22;1;117.86876995022749
Jamoncito;2;22;1;94.79700438297074
Medio Muslo;2;22;1;72.6861394900785
Entero;2;23;1;59.49675916138367
Medio Pollo;2;23;1;61.558904692310875
Medio Pollo Superior;2;23;1;61.52747656330112
