t;r;value
157;2;1179107.123248549
158;2;1178388.4505730458
159;2;1227734.5232970489
160;2;1215121.3913961882
161;2;1274490.5723422214
162;2;1351762.7922571993
163;2;1200341.2137769116
164;2;1335145.148680025
165;2;1234828.1365441226
166;2;1027152.1784976168
167;2;1190639.5594240748
168;2;1358557.4582982017
1;3;1090164.1688550785
2;3;1207683.4111218227
3;3;1369316.3928195655
4;3;1152019.5936525902
5;3;1265016.1558338378
6;3;1162764.470915307
7;3;1114475.4170360577
8;3;1214219.9833666005
9;3;1260656.3173956093
10;3;1277462.9139258214
11;3;1071510.299168289
12;3;1017089.0305598496
13;3;1241327.1568733642
14;3;1208559.1226313796
15;3;1281024.2074905825
16;3;1350461.9179133908
17;3;1136472.9827686967
18;3;1248778.1514939645
19;3;1135617.8298569235
20;3;1127162.4281945524
21;3;1302629.4033072684
22;3;1040805.1524610319
23;3;1267053.0466041756
24;3;1236593.337088664
25;3;1217729.312256081
26;3;1225418.3944988186
27;3;1353843.27703422
28;3;1110502.3324236711
29;3;1323402.9573023985
30;3;1060078.9355951075
31;3;1211373.369568876
32;3;1088308.9302096353
33;3;1046423.3192599764
34;3;1058704.8936939216
35;3;1170776.2716937384
36;3;1249224.3275107779
37;3;1461761.0950610733
38;3;1221687.273546938
39;3;1335886.9478531666
40;3;1417159.248085219
41;3;1249549.954589347
42;3;1197909.4926253483
43;3;1148906.6651938928
44;3;1276446.222384428
45;3;1192996.6621655386
46;3;1330520.8947965025
47;3;1199140.678077509
48;3;1273630.1884610273
49;3;1339861.170991545
50;3;1517887.0236220434
51;3;1098311.9757815672
52;3;1431824.3660184422
53;3;1137890.0131305167
54;3;1019257.4847415623
55;3;1246617.541891223
56;3;1009039.0252068932
57;3;1400830.5155085004
58;3;1373797.7870967025
59;3;1409383.8403059833
60;3;1122365.9897272198
61;3;1256428.3309371306
62;3;1272144.8906387114
63;3;1274965.9058002941
64;3;1320847.5489831937
65;3;1302298.0656190664
66;3;1116291.6134172727
67;3;1235665.3774453856
68;3;1066914.8273023942
69;3;1315020.1203354131
70;3;1190795.1462266813
71;3;1290164.807700194
72;3;1190963.18081651
73;3;1430798.6990669188
74;3;1274062.1214453566
75;3;1238684.0809411448
76;3;1270098.6481738626
77;3;1030199.3006935362
78;3;1242004.5579971655
79;3;1338280.2658850371
80;3;1371589.4055933668
81;3;1181700.5574293737
82;3;1062369.6048383778
83;3;1227497.774602814
84;3;1135331.4263915787
85;3;1057454.8075997098
86;3;1250035.6382244513
87;3;1342597.5484751516
88;3;1175180.6465215907
89;3;1319443.3239020724
90;3;1170995.9648477938
91;3;1088813.5421412536
92;3;1377358.962674539
93;3;1374435.3706268463
94;3;1245358.6303540017
95;3;1282798.3155386248
96;3;1211115.3161700084
97;3;1087681.8588275558
98;3;1267627.05293113
99;3;1389035.2681265809
100;3;1173734.8718347875
101;3;1312437.6348660684
102;3;1249930.5953998687
103;3;1210603.867265869
104;3;1228649.6271059783
105;3;1201711.277454825
106;3;1282318.0057103988
107;3;1166808.2599322137
108;3;1227103.0936025814
109;3;1112623.0068409957
110;3;1243683.7805606832
111;3;1023555.0523957227
112;3;1165670.4863017513
113;3;1256502.8202991546
114;3;1345220.1412373066
115;3;1125867.025295192
116;3;1295394.060278934
117;3;1333175.338975815
118;3;1234969.4455127474
119;3;1238199.7713865633
120;3;1390433.6304736894
121;3;1275271.9848645527
122;3;1349594.953994107
123;3;1428846.6338440517
124;3;1092251.9324568757
125;3;1184018.5498719104
126;3;1289578.5762799864
127;3;1048133.2184275979
128;3;1257032.0489315463
129;3;1185724.0602682459
130;3;1170497.558393693
131;3;1220077.2208606605
132;3;1264519.5325579315
133;3;1233789.706201938
134;3;1332671.762542816
135;3;1316836.657773812
136;3;1241273.5109104414
137;3;1306174.1563898546
138;3;1291370.5784728865
139;3;1057735.5987922135
140;3;1252514.116320705
141;3;1179392.8403647956
142;3;1262705.3740213139
143;3;1352756.9994276543
144;3;1316334.7298071408
145;3;1309568.5769507415
146;3;1173375.1149816539
147;3;1135466.3213113698
148;3;1458796.0361440598
149;3;1241788.3005199472
150;3;1250710.0226305285
151;3;1147243.8270452395
152;3;975126.6724071468
153;3;963513.4876976553
154;3;1227353.7913431823
155;3;1391245.1690838549
156;3;1443320.474804967
157;3;1205077.5584425433
158;3;1159941.6734884684
159;3;1131046.901144906
160;3;1336798.1428363961
161;3;1231278.6588655692
162;3;1226408.007463744
163;3;1104463.4398354627
164;3;1176775.2304503531
165;3;1449084.4726978324
166;3;1344640.510466914
167;3;1252705.0348387994
168;3;1128192.6878011394
1;4;1131681.8474314616
2;4;1009315.6212123793
3;4;1240887.6551152251
4;4;1139166.7325463088
5;4;1403192.8681265265
6;4;1324954.532451382
7;4;1197506.303448732
8;4;1439073.4723904545
9;4;1066586.865385022
10;4;1099865.6425642436
11;4;977268.0188396876
12;4;1139626.9077078819
13;4;1149843.411059641
14;4;1380804.3662196645
15;4;1227686.161426203
16;4;1347439.786849206
17;4;1024176.7430907962
18;4;1147528.6463651436
19;4;1221502.4923227397
20;4;1301440.9914800152
21;4;1283959.3648221407
22;4;1262830.05297382
23;4;1300602.0745712477
24;4;1387272.8147808546
25;4;1238069.726488749
